certainty,subject,verb,object
1.0,meeting,ended,two-week visit by delegation from private Washington-based group searching
1.0,meeting,ended,two-week visit by delegation from group searching
1.0,meeting,ended,visit by delegation from private Washington-based group searching
1.0,meeting,ended,visit by delegation from private group searching for information
1.0,meeting,ended,two-week visit by delegation from private group
1.0,meeting,ended,two-week visit to Laos by delegation from Washington-based group searching for information
1.0,meeting,ended,two-week visit by delegation from group searching for information on soldiers
1.0,meeting,ended,visit to Laos by delegation from group searching for information
1.0,meeting,ended,visit by delegation from group searching for information on American soldiers
1.0,meeting,ended,two-week visit to Laos by delegation from private Washington-based group searching
1.0,meeting,ended,visit by delegation from group
1.0,meeting,ended,visit by delegation from Washington-based group
1.0,meeting,ended,visit by delegation from group searching for information on soldiers
1.0,meeting,ended,visit to Laos by delegation from group searching for information on soldiers
1.0,meeting,ended,visit to Laos by delegation from private group searching
1.0,meeting,ended,two-week visit to Laos
1.0,meeting,ended,two-week visit to Laos by delegation from private Washington-based group searching for information on soldiers
1.0,meeting,ended,two-week visit by delegation from private group searching for information on soldiers
1.0,meeting,ended,two-week visit to Laos by delegation from group searching
1.0,meeting,ended,two-week visit by delegation from private Washington-based group searching for information
1.0,meeting,ended,two-week visit to Laos by delegation from private group searching for information
1.0,meeting,ended,two-week visit by delegation from group
1.0,meeting,ended,visit by delegation from Washington-based group searching
1.0,meeting,ended,visit to Laos by delegation from Washington-based group
1.0,meeting,ended,two-week visit to Laos by delegation from Washington-based group searching
1.0,meeting,ended,visit by delegation from Washington-based group searching for information
1.0,meeting,ended,two-week visit by delegation from Washington-based group searching
1.0,meeting,ended,visit by delegation from private group searching for information on American soldiers
1.0,meeting,ended,visit to Laos
1.0,meeting,ended,two-week visit to Laos by delegation from private group
1.0,meeting,ended,two-week visit by delegation from private group searching for information on American soldiers
1.0,meeting,ended,two-week visit by delegation from private group searching for information
1.0,meeting,ended,two-week visit by delegation from Washington-based group
1.0,meeting,ended,visit by delegation from private Washington-based group searching for information
1.0,meeting,ended,visit to Laos by delegation from private Washington-based group searching
1.0,meeting,ended,visit to Laos by delegation from private Washington-based group searching for information on soldiers
1.0,meeting,ended,visit to Laos by delegation from group
1.0,meeting,ended,two-week visit to Laos by delegation
1.0,meeting,ended,visit by delegation from group searching for information
1.0,meeting,ended,visit to Laos by delegation
1.0,meeting,ended,two-week visit to Laos by delegation from Washington-based group
