certainty,subject,verb,object
1.0,Reagan Administration,made in,statement issued
1.0,it,depend on,higher level
1.0,Reagan Administration,made,it would depend on level of Vietnamese cooperation in search
1.0,it,depend on,level of cooperation in search for Americans
1.0,it,depend on,significantly level of cooperation
1.0,Reagan Administration,made in,statement issued by United States Embassy in Bangkok
1.0,Reagan Administration,made,it would depend on level of cooperation
1.0,Reagan Administration,made,it would depend on higher level of Vietnamese cooperation in search for Americans
1.0,Reagan Administration,made,it would depend
1.0,it,depend on,significantly level of Vietnamese cooperation in search for Americans
1.0,Reagan Administration,made,it would depend on level of Vietnamese cooperation in search for Americans
1.0,Reagan Administration,made,it would depend on significantly level
1.0,it,depend on,significantly higher level
1.0,it,depend on,higher level of cooperation
1.0,Reagan Administration,made,it would depend on significantly higher level of Vietnamese cooperation in search for Americans
1.0,Reagan Administration,made,it would depend on significantly level of cooperation in search
1.0,it,depend on,higher level of Vietnamese cooperation in search for missing Americans
1.0,Reagan Administration,made,it would depend on level of Vietnamese cooperation
1.0,Reagan Administration,made,it would depend on significantly higher level of cooperation in search for Americans
1.0,Reagan Administration,made,it would depend on significantly level of cooperation
1.0,Reagan Administration,made,it would depend on significantly higher level of Vietnamese cooperation in search
1.0,State Department officials,said at_time,today
1.0,high-level talks,is with,United States
1.0,Americans officials,said at_time,today
1.0,George P. Shultz,said at_time,today
1.0,Laos,said at_time,today
1.0,war,is in,Indochina
1.0,Vietnam,has,recent offer resolve
1.0,Government,turned over at_time,today
1.0,It,resolve,entire issue of missing in action
1.0,It,indicated,acceptance of visit by senior United States officials
0.15746496938026003,It,indicated at_time,month
1.0,It,also indicated acceptance at_time,month
1.0,It,indicated,acceptance
1.0,It,also indicated,acceptance of proposed visit
1.0,It,indicated,acceptance of proposed visit
0.15746496938026003,It,also indicated at_time,month
1.0,It,resolve,issue of missing
1.0,It,indicated,acceptance of proposed visit by senior United States officials
1.0,It,indicated acceptance at_time,later month
1.0,It,also indicated,acceptance of proposed visit by United States officials
1.0,It,resolve,issue of missing in action
1.0,It,also indicated,acceptance of proposed visit by senior United States officials
1.0,It,indicated,acceptance of visit by United States officials
1.0,It,resolve,issue
1.0,It,also indicated,acceptance of visit by United States officials
1.0,It,also indicated,acceptance
1.0,It,indicated acceptance at_time,month
0.15746496938026003,It,indicated at_time,later month
1.0,It,indicated,acceptance of visit
0.15746496938026003,It,also indicated at_time,later month
1.0,It,also indicated,acceptance of visit by senior United States officials
1.0,It,also indicated acceptance at_time,later month
1.0,It,indicated,acceptance of proposed visit by United States officials
1.0,It,resolve,entire issue of missing
1.0,It,resolve,entire issue
1.0,It,also indicated,acceptance of visit
0.3553926199252864,its departure,fate of,American servicemen
1.0,fate,postponed,its departure for Hanoi
0.3553926199252864,its departure,fate of,missing American servicemen
1.0,fate,postponed,its departure
0.3553926199252864,its departure,fate of,servicemen
0.3553926199252864,its departure,fate of,missing servicemen
1.0,it,resolve,question of Americans
0.5926783807908189,talks,discuss,it
1.0,it,was,prepared
1.0,it,resolve,question of Americans missing
1.0,it,resolve,question of Americans missing in action
1.0,Vietnamese Government,announced in,July
1.0,it,resolve question within,two years
1.0,it,resolve,question
1.0,Government,announced in,July
0.5926783807908189,high-level talks,discuss,it
1.0,half,is in,Vietnam
1.0,Americans,missing in,Indochina war
1.0,Americans,are,listed half of them in Vietnam
1.0,Vietnam,resolve,"issue of nearly 1,400 Americans missing in action in Vietnam War"
1.0,Vietnam,resolve,issue
1.0,Vietnam,resolve,"issue of nearly 1,400 Americans"
1.0,Vietnam,offered plan at_time,today
1.0,action,is in,Vietnam War
1.0,Vietnam,offered,two-year plan
1.0,Vietnam,resolve,"issue of nearly 1,400 Americans missing"
1.0,Vietnam,resolve,"issue of nearly 1,400 Americans missing in action"
1.0,Vietnam,resolve,issue missing in action in Vietnam War
1.0,Vietnam,resolve,issue missing in action
1.0,Vietnam,offered,plan
1.0,Vietnam,resolve,issue missing
1.0,head,said at_time,today
1.0,issue,is in,very short time
1.0,Richard Childress,member of,National Security Council
1.0,remains,been,identified
1.0,Leaders,took issue with,Pentagon statement
1.0,Leaders,took issue at_time,yesterday
1.0,remains,been,positively identified
1.0,Leaders,took,issue
1.0,J. Thomas Burch Jr.,coordinator of,group
1.0,J. Thomas Burch Jr.,also presented At,news conference
1.0,J. Thomas Burch Jr.,also presented At,news conference at Penta Hotel
1.0,J. Thomas Burch Jr.,also presented At,news conference at Penta Hotel in New York
0.633593924617174,he said,was,evidence
1.0,J. Thomas Burch Jr.,presented At,news conference at Penta Hotel
1.0,J. Thomas Burch Jr.,presented At,news conference at Penta Hotel in New York
1.0,J. Thomas Burch Jr.,presented At,news conference
1.0,Penta Hotel,is in,New York
1.0,Reagan Administration,ignored,evidence
1.0,four-member United States delegation,discuss,recovery of remains of American servicemen
1.0,United States military delegation,traveled to,Hanoi
1.0,United States delegation,discuss,recovery of remains
1.0,United States military delegation,discuss,recovery of remains of servicemen
1.0,four-member United States delegation,discuss,recovery of remains of servicemen still listed
1.0,United States military delegation,discuss,recovery of remains of American servicemen
1.0,four-member United States delegation,discuss,recovery of remains of servicemen listed
1.0,United States military delegation,discuss,recovery of remains of servicemen listed
1.0,four-member United States delegation,discuss,recovery of remains of American servicemen listed
1.0,United States military delegation,discuss,recovery of remains of servicemen still listed
1.0,United States delegation,discuss,recovery of remains of American servicemen still listed
1.0,United States delegation,traveled to,Hanoi
1.0,United States delegation,discuss,recovery of remains of servicemen still listed
1.0,action,is in,Vietnam
1.0,United States military delegation,discuss,recovery of remains of American servicemen still listed
1.0,United States delegation,traveled at_time,today
1.0,four-member United States delegation,traveled to,Hanoi
1.0,United States delegation,discuss,recovery of remains of servicemen
1.0,United States delegation,discuss,recovery of remains of American servicemen listed
1.0,four-member United States military delegation,discuss,recovery of remains of servicemen
1.0,four-member United States military delegation,discuss,recovery
1.0,United States military delegation,traveled at_time,today
1.0,four-member United States military delegation,traveled at_time,today
1.0,United States delegation,discuss,recovery of remains of servicemen listed
1.0,four-member United States military delegation,discuss,recovery of remains of American servicemen still listed
1.0,four-member United States delegation,discuss,recovery of remains
1.0,United States military delegation,discuss,recovery of remains of American servicemen listed
1.0,four-member United States delegation,discuss,recovery
1.0,four-member United States military delegation,traveled to,Hanoi
1.0,United States military delegation,discuss,recovery of remains
1.0,four-member United States military delegation,discuss,recovery of remains of American servicemen
1.0,United States military delegation,discuss,recovery
1.0,four-member United States delegation,discuss,recovery of remains of American servicemen still listed
1.0,United States delegation,discuss,recovery of remains of American servicemen
1.0,four-member United States military delegation,discuss,recovery of remains of servicemen listed
1.0,four-member United States military delegation,discuss,recovery of remains of servicemen still listed
1.0,United States delegation,discuss,recovery
1.0,four-member United States delegation,traveled at_time,today
1.0,four-member United States military delegation,discuss,recovery of remains
1.0,four-member United States military delegation,discuss,recovery of remains of American servicemen listed
1.0,four-member United States delegation,discuss,recovery of remains of servicemen
1.0,"1,369 Americans",listed,missing
1.0,Americans,listed,missing in action
1.0,Americans,missing in,action
1.0,Americans,listed,missing
1.0,"1,369 Americans",listed,missing in action
1.0,Americans,missing in,action in Vietnam
1.0,"1,369 Americans",missing in,action
1.0,"1,369 Americans",missing in,action in Vietnam
1.0,Americans,listed,missing in action in Vietnam
1.0,total,is in,all of Indochina
1.0,action,is in,Vietnam
1.0,"1,369 Americans",listed,missing in action in Vietnam
