certainty,subject,verb,object
1.0,Mr. Shultz,speaking at,annual meeting of National League of Families
1.0,Mr. Shultz,speaking at,annual meeting of National League
1.0,Mr. Shultz,speaking at,meeting of National League of Families of American Prisoners
1.0,Mr. Shultz,speaking at,annual meeting of National League of Families of Prisoners
1.0,Mr. Shultz,speaking at,meeting
1.0,President Reagan,announced at_time,today
1.0,his special envoy,travel to,Hanoi
1.0,his envoy,travel at_time,month
1.0,his envoy,travel to,Hanoi
1.0,his special envoy,travel at_time,month
1.0,his special envoy,travel at_time,next month
1.0,his,envoy,Gen. John A. Vessey
1.0,his envoy,travel at_time,next month
1.0,issue,missing in,Vietnam
1.0,special envoy,open here,talks
1.0,special envoy,open,talks
1.0,issue,still missing in,Vietnam
1.0,envoy,open,talks
1.0,issue,missing after,14 years
1.0,envoy,open talks at_time,Saturday
1.0,envoy,open talks here at_time,Saturday
1.0,special envoy,open talks at_time,Saturday
1.0,issue,still missing after,14 years
1.0,envoy,open here,talks
1.0,special envoy,open talks here at_time,Saturday
1.0,Gen. John W. Vessey Jr.,is meeting on,Americans
1.0,Gen. John W. Vessey Jr.,is meeting with,officials
1.0,Gen. John W. Vessey Jr.,is meeting with,Vietnamese officials
1.0,Gen. John W. Vessey Jr.,is meeting on,missing Americans
1.0,installed leaders,began here at_time,today
1.0,installed Vietnamese leaders,began here at_time,today
1.0,installed leaders,began at_time,today
1.0,Vietnamese leaders,began at_time,today
1.0,long-sought meeting,missing in,action
1.0,Vietnamese leaders,began here at_time,today
1.0,meeting,missing in,action
1.0,President Reagan,between,special envoy on Americans
1.0,leaders,began here at_time,today
1.0,installed Vietnamese leaders,began at_time,today
1.0,meeting,missing in,action Vietnam
1.0,action,is in,Vietnam
1.0,leaders,began at_time,today
1.0,long-sought meeting,missing in,action Vietnam
1.0,negotiators,met,briefly
1.0,negotiators,met briefly at_time,twice today
1.0,Vietnamese negotiators,met briefly at_time,today
1.0,Vietnamese negotiators,met,briefly
1.0,negotiators,met briefly at_time,today
1.0,Vietnamese negotiators,met briefly at_time,twice today
1.0,United States troops,quit war in,1973
1.0,United States,open,diplomatic relations
1.0,Americans,still listed,missing
1.0,United States troops,quit,war
1.0,United States,open relations with,Vietnam
1.0,Americans,listed,missing
1.0,United States,open,relations
1.0,charitable assistance,is in,exchange for increased cooperation from Hanoi resolving
1.0,aid,devices for,amputees
1.0,former United States Congressman,arrived with,six relatives of servicemen unaccounted
1.0,former United States Congressman,arrived since with,six relatives of American servicemen unaccounted
1.0,former United States Congressman,arrived with,six relatives of servicemen unaccounted for in Laos
1.0,former United States Congressman,arrived with,six relatives of American servicemen
1.0,former United States Congressman,arrived since with,six relatives of servicemen unaccounted
1.0,former United States Congressman,arrived with,six relatives
1.0,former United States Congressman,arrived with,six relatives of American servicemen unaccounted for in Laos
1.0,former United States Congressman,arrived with,six relatives of American servicemen unaccounted
1.0,former United States Congressman,arrived since with,six relatives of American servicemen unaccounted for in Laos
1.0,former United States Congressman,arrived since at_time,today
1.0,former United States Congressman,arrived with,six relatives of servicemen
1.0,former United States Congressman,arrived at_time,today
1.0,former United States Congressman,arrived in,Bangkok
1.0,former United States Congressman,arrived since in,Bangkok
1.0,former United States Congressman,arrived since with,six relatives of servicemen unaccounted for in Laos
1.0,former United States Congressman,arrived since with,six relatives of servicemen
1.0,former United States Congressman,arrived since with,six relatives
1.0,former United States Congressman,arrived since with,six relatives of American servicemen
1.0,group,release,"2,500 balloons"
1.0,delegation,offer to,citizens of Laos
1.0,delegation,offer to,citizens
1.0,delegation,has raised,$ 2.4 million
0.7724626337560699,delegation,headed by,former Representative William Hendon
1.0,Pentagon,responding to,remarks
1.0,Pentagon,responding by,Cambodian leader
1.0,Pentagon,said at_time,today
1.0,Pentagon,responding by,leader
1.0,Pentagon,responding to,published remarks
1.0,United States,verify assertions by,Cambodian
1.0,United States,verify,assertions
